Description,Job Title,Conpany,Size,Company Domain,What country is the job based in?
"About the job
We are

At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. Synechron’s progressive technologies and optimization strategies span end-to-end Artificial Intelligence, Consulting, Digital, Cloud & DevOps, Data, and Software Engineering, servicing an array of noteworthy financial services and technology firms. Through research and development initiatives in our FinLabs we develop solutions for modernization, from Artificial Intelligence and Blockchain to Data Science models, Digital Underwriting, mobile-first applications and more. Over the last 20+ years, our company has been honored with multiple employer awards, recognizing our commitment to our talented teams. With top clients to boast about, Synechron has a global workforce of 14,500+, and has 58 offices in 21 countries within key global markets.

Our challenge

We are seeking a Prompt Engineer specializing in advanced prompting techniques like Chain of Thought (CoT), ReAct, and tools like DSPy to join our growing team. The ideal candidate plays a crucial role in optimizing AI interactions.

Additional Information*

The base salary for this position will vary based on geography and other factors. In accordance with law, the base salary for this role if filled within Charlotte, NC is $120K - $130K/year & benefits (see below).

The Role

Responsibilities:

Prompt Design & Optimization: Develop and refine prompts to improve AI-generated responses. 
Advanced Prompting Techniques: Implement CoT (Chain of Thought) for reasoning-based prompts, ReAct (Reasoning + Acting) for interactive AI workflows, and DSPy for structured prompt engineering. 
LLM Fine-Tuning: Work with large language models to enhance their performance using optimized prompts. 
Data Preparation & Annotation: Curate datasets for training AI models and improve prompt effectiveness. 
API Integration: Develop and manage APIs that facilitate seamless AI interactions. 
Performance Analysis: Monitor AI outputs and refine prompts based on feedback and analytics. 
Collaboration: Work with AI researchers, developers, and product teams to integrate prompt engineering into business applications. 

Requirements:

8+ years of experience as a Prompt Engineer. 
Programming: Proficiency in Python, NLP libraries, and AI model APIs. 
Evaluation Expertise: Experience with DeepEval, Ragas, Galileo, Arize, and other AI assessment tools. 
LLM Knowledge: Familiarity with models like GPT, Claude, Llama, and Mixtral. 
Data Handling: Ability to preprocess and structure data for AI evaluation. 
Problem-Solving: Strong analytical skills to optimize AI-generated responses. 

We offer:

A highly competitive compensation and benefits package. 
A multinational organization with 58 offices in 21 countries and the possibility to work abroad. 
10 days of paid annual leave (plus sick leave and national holidays). 
Maternity & paternity leave plans. 
A comprehensive insurance plan including medical, dental, vision, life insurance, and long-/short-term disability (plans vary by region). 
Retirement savings plans. 
A higher education certification policy. 
Commuter benefits (varies by region). 
Extensive training opportunities, focused on skills, substantive knowledge, and personal development. 
On-demand Udemy for Business for all Synechron employees with free access to more than 5000 curated courses. 
Coaching opportunities with experienced colleagues from our Financial Innovation Labs (FinLabs) and Center of Excellences (CoE) groups. 
Cutting edge projects at the world’s leading tier-one banks, financial institutions and insurance firms. 
A flat and approachable organization. 
A truly diverse, fun-loving, and global work culture. 

S YNECHRON’S DIVERSITY & INCLUSION STATEMENT

Diversity & Inclusion are fundamental to our culture, and Synechron is proud to be an equal opportunity workplace and is an affirmative action employer. Our Diversity, Equity, and Inclusion (DEI) initiative ‘Same Difference’ is committed to fostering an inclusive culture – promoting equality, diversity and an environment that is respectful to all. We strongly believe that a diverse workforce helps build stronger, successful businesses as a global company. We encourage applicants from across diverse backgrounds, race, ethnicities, religion, age, marital status, gender, sexual orientations, or disabilities to apply. We empower our global workforce by offering flexible workplace arrangements, mentoring, internal mobility, learning and development programs, and more.

All employment decisions at Synechron are based on business needs, job requirements and individual qualifications, without regard to the applicant’s gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.

Candidate Application Notice",Prompt Engineer,Synechron, 10001+ employees,"Technology, Information and Internet",United States
"About the job
This job is sourced from a job board. Learn More
About Feathery Feathery powers end-to-end data intake workflows for financial service enterprises. We power critical use cases such as submission intake for insurance underwriting, client onboarding, account openings, and more. We're the only platform that allows their business users to build these mission-critical user journeys without code.

About the Role Feathery has been growing rapidly, recently reached profitability, and is taking on more, and larger, customers. We're looking for an AI prompt engineer to help drive implementations of our Document Intelligence product. We put innovation first, which means you'll drive cutting-edge features that customers are eagerly waiting for.

Beyond your prompt engineering work, you'll gain leadership responsibilities early on as we grow the team and close customers. You'll be involved in scaling the product, the team, and the entire company.

What You'll Do

Own end-to-end customer AI implementations
Improve the reliability, scalability, and accuracy of our AI products.
Work closely with our users to understand requirements and deliver a fantastic product experience.
Work with cutting edge models and AI development techniques",AI Prompt Engineer,Feathery,11–50 employees," Technology, Information and Internet",Canada
"About the job
Vancouver, BC

Salary Range: $70,000 - $90,000 /yr.

Working directly with our Commercial Product team, we’re looking for a highly analytical and innovative Prompt Engineer to join our Commercial Software team. In this role, you will be responsible for designing, testing, and implementing high-quality prompts that power AI-driven automation across our products. You are someone who’s deeply curious about language models, stays on top of the latest AI trends, and is excited to explore how prompt engineering can drive meaningful business outcomes.

About The Role

Create, refine, and maintain structured prompts to support automation workflows across commercial lending software.
Work closely with product managers, developers, and business teams to identify automation opportunities and translate them into prompt-based solutions.
Evaluate and test outputs across different LLMs (e.g., GPT, Claude, Gemini) and recommend the best model for specific use cases.
Monitor performance, analyze edge cases, and adjust prompts to improve accuracy, efficiency, and user satisfaction.
Contribute to the development of internal prompt libraries and versioning frameworks.
Stay current with emerging trends, tools, and techniques in prompt engineering and AI language models.
Provide clear documentation of prompt structures, use cases, and performance benchmarks.
Assist in training internal users on AI tooling and best practices for interacting with LLM-powered workflows.

This Role Is For You If You Have

Excellent written and verbal communication skills with a strong command of natural language.
Proven experience working with LLMs (e.g., GPT-4, Claude, Gemini) and prompt engineering across business use cases.
Deep understanding of model behavior, limitations, and use-case suitability.
Familiarity with AI/ML concepts, vector databases, and APIs is an asset.
Experience monitoring prompt performance, testing variations, and implementing feedback loops.
A proactive mindset with strong problem-solving and analytical thinking skills.
2+ years of experience in a product, data, or automation-focused role within a tech-driven environment.
A process-oriented mindset with the ability to understand business workflows and implement practical improvements.
Ability to work independently and as part of a collaborative cross-functional team.

Benefits And Perks

Some of the benefits we offer at Intellifi include:

Health and Wellness Spending Accounts
Health, Drug, Vision, and Dental benefits
Paid vacation, sick days, and personal days (in addition to all civil and statutory holidays)
RRSP Matching Program
Maternity / Parental Leave Top Up Program
Discounted gym memberships
Travel assistance and EAP
Business Casual dress code
Company social events + sport teams
Education reimbursement
Training and mentoring programs
And more!

Who are we?

Intellifi has been formed to provide end-to-end solutions for established and emerging lenders in both the residential and commercial space in Canada. By combining data, people, and technology, we meet all-time high consumer demands for faster, simpler solutions. By digitizing and democratizing technology, we ensure simplicity and usability for both our clients and their customers. As industry pioneers with decades of experience, we are passionate about spearheading innovative, creative digital solutions for the Canadian lending industry. Intellifi provides lenders with a selection of products and services from fully outsourced lending operations to niche technology that helps create efficiency in their loan management.

You will love working here

Employees tell us that they love that we strike the balance in creating an incredibly professional, yet dynamic and enjoyable corporate culture. We work in a fluid and fast-paced environment that is supportive of energetic and motivated individuals who pride themselves on being flexible and results-driven. Business is booming and that means that our employees are able to gain valuable exposure, have lots of learning opportunities, and truly impact the business. We are committed to providing our people with a challenging and rewarding career because our employees are what set us apart and we know it.

Equal Opportunity Employer

Intellifi is an equal opportunity employer committed to diversity and inclusion. We are pleased to consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veterans status, Aboriginal/Native American status or any other legally-protected factors. Disability-related accommodations are available on request for candidates taking part in all aspects of the selection process by emailing HR@intellifi.ca.

We want to hear from you!

If you are confident that you would be a strong asset to our team, submit both a cover letter and resume today! We thank all applicants for their time in applying, however we will only contact those selected for an interview. Consideration of applications will begin immediately and continue until the position is filled.","Prompt Engineer, AI & Automation", CMLS Financial,201–500 employees, Financial Services,Canada
"About the job
As a Prompt Engineer your responsibilities include working with our content creators, product teams and data scientists to develop and refine prompts, optimizing prompt performance and staying up-to-date on the latest advancements in AI, natural language processing and machine learning.

Ultimately, you will be hands on working directly with Development teams to create and improve prompts that enable more efficient usage of Github copilot.

Responsibilities

Rapid Prompt Developing and Refinement - Develop and refine prompts to achieve specific coding goals, such as generating code snippets, fixing bugs, or writing unit tests
Context and Constraint Management - Understand how to provide Copilot with the necessary context (e.g., code base, language, framework) and constraints (e.g., specific libraries, coding style) to guide its suggestions
Prompt Experimentation and Testing - Conduct experiments to evaluate different prompt strategies and identify best practices
Prompt Documentation and Library Creation - Create and maintain a library of effective prompts or prompt chains for various tasks
User Education and Training - Develop tutorials and resources to help developers learn and improve their prompt engineering skills
Feedback and Iteration - Analyze Copilot's responses and identify areas for improvement, suggesting updates to the model or prompting techniques
Team Collaborate - Collaborate with product teams, data scientists, and engineers to understand user needs and translate them into effective prompts
Prompt Experiments - Conduct experiments and research to test new prompting techniques and optimize existing workflows
Keeping ahead on Strategy - Stay up to date on the latest advancements in national language processing (NLP) and AI, and apply those insights to your work
Documenting to enable sharing of knowledge and Best Practices - Document and communicate your work clearly and concisely to technical and non-technical audiences for future reference

Requirements

Proven experience in AI and NLP, preferably in prompt generation or related areas
Strong programming skills in languages such as Python or Java
Experience with AI frameworks such as TensorFlow, PyTorch, or Keras
Development using Github copilot
Familiarity with cloud platforms such as AWS, GCP, or Azure
Knowledge of software development methodologies and best practices
Experience with version control systems such as Git
Strong problem-solving and analytical skills, with the ability to think critically and creatively
Excellent written and verbal communication skills
Ability to work independently and as part of a team, with a strong sense of responsibility and accountability", AI Prompt Engineer, Unison Consulting,201–500 employees, IT Services and IT Consulting,Singapore
"About the job
Prompt Engineer / AI Specialist (Remote)


About Us


We're a company that's obsessed with making AI actually useful for businesses. Instead of flashy demos that don't work in the real world, we build AI solutions that genuinely solve problems and make people's lives easier. Think automated sales agents that actually convert, voice bots that don't sound like robots, and research tools that save hours of manual work.


The Role


We're looking for someone who gets excited about turning ""what if we could automate this?"" ideas into reality. You'll be the person who figures out how to make LLMs do the heavy lifting for businesses - whether that's building outbound sales machines, creating AI assistants that handle customer calls, or developing research bots that dig up insights while people sleep.




This is 100% remote work with flexible hours. As long as you're delivering great results and available for client calls when needed, we don't care if you're most productive at 6 AM or 11 PM.




What You'll Actually Be Doing




Building Cool AI Stuff




You'll spend most of your time in n8n creating workflows that make businesses run themselves. We're talking about setting up AI agents that can handle entire sales processes, research competitors while you're having coffee, or manage social media campaigns without human babysitting. You'll be working with the latest LLMs (GPT-4, Claude, Gemini - whatever works best) and figuring out the perfect prompts to make them do exactly what we need.


The Agent Army You'll Create
Outbound Sales Agents: These bad boys qualify leads, send personalized emails, and follow up like clockwork
Voice Agents: AI that can actually have phone conversations without sounding like a robot from 1995
Research Agents: Digital detectives that dig up market insights, competitor intel, and industry trends
SEO Agents: Content optimization machines that boost search rankings while you sleep
Social Media Agents: Creative AI that posts, engages, and grows social media presence automatically


Client Magic


You'll work directly with business owners who have problems they need solved. Think of yourself as an AI translator - they tell you their pain points, you figure out how to automate the solution. Sometimes you'll need to build quick prototypes to show them what's possible, other times you'll be deep in technical documentation (but we promise to keep that fun).


Technical Wizardry


Most of your day will be in n8n building complex workflows that actually work in the real world. You'll be connecting APIs, handling data flows, setting up error handling that doesn't break at 3 AM, and making sure everything runs smoothly. When things inevitably break (because AI), you'll be the one figuring out why and fixing it.


You Should Apply If You Have


The Core Skills We Actually Need


Prompt Engineering Ninja: You know how to talk to AI models like GPT-4 and Claude to get them to do exactly what you want, not just give generic responses
n8n Master: You can build complex workflows that don't break when someone sneezes. Bonus points if you've built custom nodes or done weird integrations
AI Whisperer: You understand how LLMs work, their quirks, and how to work around their limitations without pulling your hair out
API Juggler: REST APIs, webhooks, and third-party integrations don't scare you. If it has an API, you can probably connect it to something
Code Comfortable: JavaScript or Python skills - you don't need to be a coding rockstar, but you should be able to automate stuff and debug when things go wrong
AI Platform Experience


You've actually used these tools in real projects, not just watched YouTube tutorials:
OpenAI models, Claude, Gemini, or other LLMs for actual work
AI development platforms and know which ones are worth using
Vector databases and RAG implementations (even if you just call it ""making AI remember stuff"")
Maybe some experience making AI models better through fine-tuning


The Soft Skills That Matter


You can explain complex AI stuff to people who think ChatGPT is magic
You don't mind jumping on calls with clients and actually enjoy solving their problems
You can manage multiple projects without everything falling apart
You understand how businesses actually work (sales, marketing, operations - the unsexy stuff that makes money)


Bonus Points If You Have


Extra Technical Superpowers


Web scraping and data extraction skills - turning the internet into your research assistant
CRM integrations (HubSpot, Salesforce) - because every business lives in their CRM
Social media APIs and automation - making brands look active without the manual work
Cloud platform experience - AWS, Google Cloud, wherever the servers live
Experience with voice AI (ElevenLabs, Azure Speech) - making AI that actually sounds human


Real-World Experience
Background in digital marketing, sales, or business automation (you've seen the problems firsthand)
Experience with SaaS companies or agencies (you know the hustle)
SEO knowledge with tools like SEMrush or Ahrefs (you understand the content game)
Understanding of how social media marketing actually works (not just posting random stuff)




Why You'll Love Working Here


Fully Remote: Work from anywhere with good internet. Your home office, a coffee shop, or that cabin in the woods - we don't care as long as you're productive
Flexible Hours: Night owl? Early bird? Work when you're most effective. We care about results, not when you clock in
Cutting-Edge Tech: You'll get to play with the latest AI tools and actually use them to solve real problems (not just demos)


How to Apply


Send us:
Your resume (keep it real, skip the corporate buzzwords)
Portfolio of AI stuff you've built - n8n workflows, agent examples, whatever shows your skills
A quick note about the coolest AI solution you've created and why you loved building it
Any examples of prompt engineering magic or agent development (GitHub links, videos, whatever works)
We're more interested in what you can build than where you went to school or worked before. Show us your AI superpowers and let's chat about making some digital magic together.",Prompt Engineer / Artificial Intelligence Consultant,Easy Outsource,11–50 employees,Outsourcing and Offshoring Consulting,Singapore
"About the job
Prompt Engineer – Join Our Innovative Team at Blackbox Research



Are you passionate about AI, machine learning and NLP? 

Blackbox Research (blackbox.com.sg) is seeking a talented Prompt Engineer to join our dynamic Singapore-based team. In this role, you will design and refine prompts for large language models, ensuring optimal performance for a wide range of applications to support our insights work across the public policy and commercial business domains.
Key Responsibilities:

Craft clear and effective prompts, adapting language for various audiences.
Collaborate with stakeholders to clarify requirements and iterate on solutions.
Analyze and evaluate model outputs for accuracy, consistency, and bias.
Frame complex social and policy arguments from diverse perspectives.
Automate testing and output analysis using Python and data analysis tools.
Requirements:

In-depth knowledge of AI, ML, and NLP principles.
Solid understanding of large language model architectures and their capabilities.
Strong communication and writing skills.
Background in social sciences, public policy, data science, or market research is advantageous.
Programming proficiency, especially in Python.
Familiarity with major LLMs (ChatGPT, Gemini) and advanced prompt engineering techniques.
Creativity, critical thinking, and a passion for iterative problem-solving.


Ready to shape the future of AI-driven research and help our clients to make decisions that matter? Apply now at ris.koo@blackbox.com.sg",Prompt Engineer,Blackbox,51–200 employees,Market Research,Singapore
"About the job
About Capgemini:

Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.


Job Summary:

As a Prompt Engineer your responsibilities include working with our content creators, product teams and data scientists to develop and refine prompts, optimizing prompt performance and staying up-to-date on the latest advancements in AI, natural language processing and machine learning.Ultimately, you will be hands on working directly with Development teams to create and improve prompts that enable more efficient usage of Github copilot.


RESPONSIBILITIES:

Rapid Prompt Developing and Refinement - Develop and refine prompts to achieve specific coding goals, such as generating code snippets, fixing bugs, or writing unit tests.
Context and Constraint Management - Understand how to provide Copilot with the necessary context (e.g., code base, language, framework) and constraints (e.g., specific libraries, coding style) to guide its suggestions.
Prompt Experimentation and Testing - Conduct experiments to evaluate different prompt strategies and identify best practices.
Prompt Documentation and Library Creation - Create and maintain a library of effective prompts or prompt chains for various tasks.
User Education and Training - Develop tutorials and resources to help developers learn and improve their prompt engineering skills.
Feedback and Iteration - Analyze Copilot's responses and identify areas for improvement, suggesting updates to the model or prompting techniques.
Team Collaborate - Collaborate with product teams, data scientists, and engineers to understand user needs and translate them into effective prompts.
Prompt Experiments - Conduct experiments and research to test new prompting techniques and optimize existing workflows.
Keeping ahead on Strategy - Stay up to date on the latest advancements in national language processing (NLP) and AI, and apply those insights to your work.
Documenting to enable sharing of knowledge and Best Practices - Document and communicate your work clearly and concisely to technical and non-technical audiences for future reference.




Let's talk about what's in it for you!



Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.


As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:


Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.


Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.


Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.


Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 10 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.


Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.",Prompt Engineer,Capgemini,10001+ employees,IT Services and IT Consulting,Singapore
"About the job
About the Company



TaskUs provides digital outsourcing and next-generation customer experience for some of the world’s most innovative tech companies. We help companies build safer, smarter AI by delivering high-quality human feedback, content moderation, and data annotation services at scale.


TaskVerse is our freelance platform that connects global talent with flexible, project-based work. Taskers contribute to AI development through tasks like prompt writing, data labeling, transcription, and adversarial testing—helping improve the safety, fairness, and performance of emerging technologies.




About the Role

We’re looking for a freelance AI Adversarial Tester / Prompt Writer to help test and improve large language models (LLMs) by crafting creative, edge-case, or challenging prompts. This is a high-impact opportunity for individuals passionate about generative AI, critical thinking, and linguistic precision. You’ll be working at the frontier of AI safety and alignment—designing tests that push the boundaries of AI behavior.




Responsibilities

Design adversarial prompts to uncover weaknesses, safety risks, or edge cases in LLM behavior
Write clear, testable, and structured instructions to evaluate AI systems’ performance
Collaborate with a remote team to review outputs and escalate flagged issues
Generate diverse prompt types across multiple domains (e.g., ethical dilemmas, policy, humor, reasoning)
Work with internal guidelines to classify, label, or improve AI-generated content




Qualifications

You're a strong fit if you have experience in:
Working with LLMs
Adversarial testing, red-teaming, or QA for AI systems
Writing high-quality prompts or structured inputs for generative models
Analytical thinking and debugging complex or ambiguous behavior in AI
Working independently across time zones and communicating asynchronously
Comfortable using Google Workspace tools (Docs, Sheets, Drive) for prompt writing, collaboration, and task submission
Fluency in English and Korean is essential




Preferred Skills

Previous experience in prompt writing for LLMs or other generative AI systems
Background in remote freelance work or global virtual teams
Interest in AI ethics, safety, or language fairness in generative systems




How to Apply

To apply, please follow this link and complete the interest survey with your updated resume. As part of our screening, shortlisted candidates will complete a test to demonstrate prompt writing, localization, and basic understanding of AI safety concepts.
Successful candidates will join our TaskVerse community and gain access to additional opportunities in the AI space.




Important Note

This role may involve testing AI systems with prompts that include sensitive or potentially challenging content. Candidates should be comfortable engaging with such material in a professional and constructive manner.",AI Adversarial Tester / Prompt Writer,TaskUs,10001+ employees,Outsourcing and Offshoring Consulting,South Korea
"About the job

Translation:
An online education product for young children targeting overseas markets is recruiting a Prompt Engineer Intern. If you have strong English skills, a product mindset, and are proficient in using AIGC tools such as Midjourney, Stable Diffusion, ComfyUI, Runway, or pika, we welcome you to join us!

Job Responsibilities
Assist in writing prompts and training image models for online education courses aimed at children aged 4–6, based on project needs

Help improve the effectiveness of AI-generated course content

Support other content production tasks related to the courses

Requirements
Experience with AI-generated images and proficiency in AIGC tools like Midjourney, Stable Diffusion, ComfyUI, Runway, and pika, as well as video editing tools

Fluent English communication; overseas study experience is a plus

Strong visual design sense and creativity

A portfolio showcasing your AI capabilities is preferred",prompt engineer实习生,"北京绘梦文化传播有限公司 (Beijing Huimeng Cultural Communication Co., Ltd.)",,Broadcast Media Production and Distribution,China
"About the job
Are you interested in working with the World’s leading AI-powered Quality Engineering Company? Ready to advance your career, team up with global thought leaders across industries and make a difference every day? Join us at Qualitest!

Qualitest is looking for Prompt Engineers on site in Mexico City! You will be part of a team of QA engineers, developers, pre-sales, and project managers to help optimize software for certain locales and languages to finally deliver the right product in the locale.

About Us

Our team is at the forefront of enhancing artificial intelligence through a deep understanding of language, data, and user perspectives. We are responsible for ensuring the quality and effectiveness of AI systems by meticulously analyzing data, refining AI training processes, and translating user feedback into actionable insights. We are a team that values precision, systematic thinking, and a proactive approach to problem-solving.

The Role

We're seeking detail-oriented Language Specialists with a passion for language and a knack for analysis. You will use your linguistic expertise and analytical skills to evaluate and improve AI systems, focusing on data quality, user feedback, and how AI communicates. While deep language skill is key, an interest in technology and new technical skills is a big plus.

What You'll Do

Analyze and evaluate language data in English for quality, accuracy, and nuance.

Assess AI system outputs and user interactions, providing detailed feedback.

Contribute to refining ""prompts"" (instructions for AI) to get better results.

Identify patterns and insights from user feedback to help improve AI.

Ensure all work meets high standards for quality and consistency.

Essential Skills

Native or near-native fluency in English (An understanding of language as a system including grammar, meaning, context)

Strong critical thinking and analytical skills.

Excellent attention to detail and organizational abilities.

Helpful To Have (Desired Skills & Perspectives)

Ability to learn new tools and processes quickly.

Experience in data analysis (even if basic, like using spreadsheets for insights).

Familiarity with Quality Assurance (QA) principles or testing.

Basic understanding of programming concepts (e.g., logic, simple scripts) or an interest in learning.

Previous experience with AI, data annotation, or prompt engineering.

Backgrounds in linguistics, technical writing, or user experience (UX).

Why Join Us?

Directly impact the quality and effectiveness of cutting-edge AI.

Use your language skills in a dynamic, tech-focused environment.

Opportunity to grow your analytical and technical skills in a future-oriented field.

Benefits

Why Qualitest?

Be a part of a company who strives to support for diversity and inclusion in the workplace – we are one, we are many at Qualitest. Celebrate culture, share knowledge with engineers from around the globe, and inspire each other through our differences.
Local and global opportunities – we offer you internal rotation and international mobility opportunities to grow your career.
Clear view of your career and progression with the company – Qualitest is growing massively (since Jan 2021 – added more than 2000 engineers) and giving you the opportunity to grow with us.
Work hard and play harder with our flexible and casual culture. Take a break from work and join an employee event, or enjoy the amenities and games provided from one of our Employees Centers.
Never stop experimenting and learning with Qualitest Tech academy: 3000+ training courses, mentorship programs, technical tribes, sponsored certifications, leadership programs and much more
Earn bonuses via our Client Referral and Employee Referral Program’s. Refer and earn – tap your network for net-worth.

If you like what you have read, send us your resume and let’s start talking!

Intrigued to find more about us?

Visit our website at https://www.qualitestgroup.com

Check out our Career page: https://www.qualitestgroup.com/careers

",Prompt Engineer,Qualitest,5001–10000 employees,IT Services and IT Consultin,Mexico
"About the job
Qualitest is looking for Bilingual English Engineers on site in Mexico City! You will be part of a team of QA engineers, developers, pre-sales, and project managers to help optimize software for certain locales and languages to finally deliver the right product in the locale.

Our team is at the forefront of enhancing artificial intelligence through a deep understanding of language, data, and user perspectives. We are responsible for ensuring the quality and effectiveness of AI systems by meticulously analyzing data, refining AI training processes, and translating user feedback into actionable insights. We are a team that values precision, systematic thinking, and a proactive approach to problem-solving.

We're seeking detail-oriented Language Specialists with a passion for language and a knack for analysis. You will use your linguistic expertise and analytical skills to evaluate and improve AI systems, focusing on data quality, user feedback, and how AI communicates.

While deep language skill is key, an interest in technology and new technical skills is a big plus.

Responsibilities

Analyze and evaluate language data in English for quality, accuracy, and nuance.
Assess AI system outputs and user interactions, providing detailed feedback.
Contribute to refining ""prompts"" (instructions for AI) to get better results.
Identify patterns and insights from user feedback to help improve AI.
Ensure all work meets high standards for quality and consistency.

Must-have Skills

Native or near-native fluency in English (An understanding of language as a system including grammar, meaning, context)
Strong critical thinking and analytical skills.
Excellent attention to detail and organizational abilities.
Intermediate level Python skills

Desired Skills

Ability to learn new tools and processes quickly.
Experience in data analysis (even if basic, like using spreadsheets for insights).
Familiarity with Quality Assurance (QA) principles or testing.
Basic understanding of programming concepts (e.g., logic, simple scripts) or an interest in learning.
Previous experience with AI, data annotation, or prompt engineering.
Backgrounds in linguistics, technical writing, or user experience (UX).

Why Join Us?

Directly impact the quality and effectiveness of cutting-edge AI.
Use your language skills in a dynamic, tech-focused environment.
Opportunity to grow your analytical and technical skills in a future-oriented field.

Benefits

Why Qualitest?

Work hard and play harder with our flexible and casual culture.

Stay healthy – with private health insurance coverage offered from day 1 of employment.

Get the help you need when you need it with our Employee Assistance Program which offers counseling services to you and members of your household at no cost.

This service includes 6 free counseling sessions where you may speak with a licensed therapist, and licensed clinicians are also available to you 24 hours a day, 7 days a week.

Gain access to over 3000+ training courses and peer to peer mentoring support, allowing you to become a master of your craft and learn new skills.

Celebrating your achievements and milestones are important to us so we created our Employee Rewards and Recognition Program’s.

Be rewarded and acknowledged for what you do and who you are!

Earn bonus via our Client Referral and Employee Referral Program’s. Refer and earn – tap your network for net-worth.

Be a part of a company who strives to support diversity and inclusion in the workplace – we are one, we are many at Qualitest.

Celebrate culture, share knowledge with engineers from around the globe, and inspire each other through our differences.

Intrigued to find more about us?

Visit our website at https://qualitestgroup.com/ 

Check out our Career page: https://www.qualitestgroup.com/careers/",Prompt Engineer - Python,Qualitest,5001–10000 employees,IT Services and IT Consulting,Mexico
