Course URL LINK,Course Code,Course Name,Offering Institution,Offering Department / Unit,Offering Program,Course Type,Delivery Mode,Duration,COURSE DESCRIPTION,Prompt Engineering Topics Covered,Assessment,Unnamed: 12,Delivery Mode Clean,Course Type Clean,Offering Program Clean,Duration Clean,Duration Value,Duration Unit,Assessment Categories,Normalized Topics,SWEBOK Areas,SWEBOK Scores
https://uit.stanford.edu/service/techtraining/class/generative-ai-prompting-basics-beginners,ITS-1984,Generative AI Prompting Basics for Beginners,Stanford University,University IT â Technology Training,Professional Development,University Training Workshop,"Live Online (1 session, Zoom)",3 hours,"Covers essential skills for crafting prompts across AI tools: fundamentals of generative AI, context/instructions/output specs, multi-tool prompt design, content generation, summarization, style adaptation, hallucination & bias mitigation, and applied assignments.",prompt fundamentals; context/instruction/output structuring; multi-platform prompt strategies; creative and summarization prompts; style and tone adaptation; hallucination mitigation; bias mitigation; prompt analysis,Hands-on milestones; peer discussion; certificate of completion.,,Online (Synchronous),Workshop,Professional Development,3 hours,3,hours,"['Lab/Hands-on', 'Certificate Only']","['prompt design/fundamentals', 'context', 'instruction', 'output structuring', 'multi-platform prompt strategies', 'creative and summarization prompts', 'style and tone adaptation', 'safety/risk', 'bias mitigation', 'prompt analysis']","['Design', 'Construction', 'Requirements', 'Engineering Management', 'Quality', 'Professional Practice/Ethics']","{'Design': 0.1, 'Construction': 0.4, 'Requirements': 0.1, 'Engineering Management': 0.1, 'Quality': 0.2, 'Professional Practice/Ethics': 0.2}"
https://online.stanford.edu/courses/xfm110-technical-fundamentals-generative-ai,XFM110,Technical Fundamentals of Generative AI,Stanford University,Stanford Institute for Human-Centered AI (HAI) & Stanford Online,Professional Certificate,MOOC/Professional,Online (On-Demand),9 hours,"Introduces generative AI and foundational models; model selection, training, benchmarking; optimizing LLMs; refining prompt engineering with instruction-following models and chain-of-thought reasoning; exploring societal impacts and future trends.",instruction-following models; chain-of-thought reasoning; logical frameworks for prompting; LLM optimization; prompt benchmarking; cost-efficient FrugalGPT strategies,Record of Completion (0.5 CEU-equivalent; satisfactory).,,Online (Asynchronous),MOOC,Certificate,9 hours,9,hours,['None/Unspecified'],"['instruction-following models', 'chain-of-thought', 'logical frameworks for prompting', 'llm optimization', 'prompt benchmarking', 'cost-efficient frugalgpt strategies']","['Models & Methods', 'Construction', 'Foundations', 'Economics']","{'Models & Methods': 0.16666666666666666, 'Construction': 0.5, 'Foundations': 0.16666666666666666, 'Economics': 0.16666666666666666}"
https://online.stanford.edu/courses/xfm111-business-opportunities-and-applications-generative-ai,XFM111,Business Opportunities and Applications of Generative AI,Stanford University,Stanford Institute for Human-Centered AI (HAI) & Stanford Online,Professional Certificate,MOOC/Professional,Online (On-Demand),14 hours,Equips leaders to leverage generative AI in business: identifying capabilities/limits; designing AI interfaces and agents; structuring AI-powered organizations; examining productivity and future work; legal/trust risk mitigation; societal implications.,UI/UX prompt design; agentic AI workflows; interface-driven prompt engineering; evaluation and debugging of AI outputs; legal and trust-oriented prompt constraints; human-centered prompt evaluation,Module exercises; knowledge checks; Record of Completion (1 CEU-equivalent).,,Online (Asynchronous),MOOC,Certificate,14 hours,14,hours,['None/Unspecified'],"['ui', 'ux prompt design', 'applications', 'interface-driven prompt engineering', 'evaluation and debugging of ai outputs', 'legal and trust-oriented prompt constraints', 'human-centered prompt evaluation']","['Design', 'Construction', 'Testing']","{'Design': 0.14285714285714285, 'Construction': 0.5714285714285714, 'Testing': 0.2857142857142857}"
https://www.cs.cmu.edu/~breaux/prompting/,17-630,Prompt Engineering,Carnegie Mellon University,Software and Societal Systems Department,Graduate,Degree-Awarding,"Face-to-Face (Spring Semester, on-campus)",14 weeks,"Introduction to prompt engineering strategies and techniques, covering prompt-tuning, chain-of-thought prompting, multi-hop reasoning, multi-stage prompting, evaluation metrics, self-consistency, calibration, alignment, ethics, and domain-specific applications.",prompt-tuning; chain-of-thought prompting; multi-hop reasoning; multi-stage prompting; prompt engineering benchmark datasets; evaluation metrics; self-consistency; calibration; in-context learning; alignment; ethics of large language models,Homework assignments (20%); Group project (30%); Quizzes (15%); Take-home final exam (25%); Class participation (10%),,Face-to-Face,Degree-Awarding,Graduate,14 weeks,14,weeks,"['Exam', 'Quiz', 'Project', 'Lab/Hands-on', 'Participation']","['prompt tuning', 'chain-of-thought prompting', 'multi-hop reasoning', 'multi-stage prompting', 'prompt engineering benchmark datasets', 'evaluation/debugging', 'self-consistency', 'calibration', 'in-context learning', 'alignment', 'ethics of large language models']","['Construction', 'Models & Methods', 'Configuration Management', 'Testing', 'Requirements', 'Professional Practice/Ethics']","{'Construction': 0.36363636363636365, 'Models & Methods': 0.2727272727272727, 'Configuration Management': 0.09090909090909091, 'Testing': 0.09090909090909091, 'Requirements': 0.09090909090909091, 'Professional Practice/Ethics': 0.09090909090909091}"
https://www.cs.cmu.edu/~mgormley/courses/10423/,10-423,Generative AI,Carnegie Mellon University,School of Computer Science,Undergraduate,Degree-Awarding,Face-to-Face (Spring 2025; MWF 2:00 PM - 3:20 PM),15 weeks,"Explores generative modeling and foundation models, including transformers, diffusion models, pre-training, fine-tuning, adapters, in-context learning, and real-world generative applications.",in-context learning; adapters; instruction fine-tuning; prompt engineering; RLHF; prompt-to-prompt; direct preference optimization; chain-of-thought reasoning; hallucination mitigation,Homework assignments (40%); In-class quizzes (10%); In-class exam (20%); Project (25%); Participation (5%),,Face-to-Face,Degree-Awarding,Undergraduate,15 weeks,15,weeks,"['Exam', 'Quiz', 'Project', 'Lab/Hands-on', 'Participation']","['in-context learning', 'adapters', 'instruction fine-tuning', 'prompt engineering', 'rlhf', 'prompt-to-prompt', 'direct preference optimization', 'chain-of-thought', 'safety/risk']","['Requirements', 'Models & Methods', 'Construction', 'Foundations', 'Engineering Management', 'Quality', 'Professional Practice/Ethics']","{'Requirements': 0.1111111111111111, 'Models & Methods': 0.2222222222222222, 'Construction': 0.4444444444444444, 'Foundations': 0.2222222222222222, 'Engineering Management': 0.1111111111111111, 'Quality': 0.1111111111111111, 'Professional Practice/Ethics': 0.1111111111111111}"
https://exec.cs.cmu.edu/custom/llms_and_prompt_engineering,,LLMs and Prompt Engineering,Carnegie Mellon University,School of Computer Science â Executive & Professional Education,Executive Education,Custom Course,To be arranged (custom corporate training),To be arranged,"Covers large language models and prompt engineering, including LLM architectures, training objectives, instruction tuning, data curation, prompt engineering techniques, prompt tuning, parameter-efficient fine-tuning, and ethics and policy considerations.",overview of LLMs; transformer architecture; instruction tuning; data curation; prompt engineering; prompt tuning; parameter-efficient fine-tuning; ethics; policy; impacts,Not specified,,Unspecified,Other,Executive Education,To be arranged,,,['None/Unspecified'],"['overview of llms', 'transformer architecture', 'instruction tuning', 'data curation', 'prompt engineering', 'prompt tuning', 'safety/risk', 'policy', 'impacts']","['Foundations', 'Construction', 'Engineering Management', 'Quality', 'Professional Practice/Ethics']","{'Foundations': 0.2222222222222222, 'Construction': 0.3333333333333333, 'Engineering Management': 0.1111111111111111, 'Quality': 0.1111111111111111, 'Professional Practice/Ethics': 0.1111111111111111}"
https://ace.nus.edu.sg/pc/professional-certificate-in-chatgpt-advanced-chat-models-and-generative-ai/,,"Professional Certificate in ChatGPT, Advanced Chat Models, and Generative AI",National University of Singapore,"NUS Computing, Advanced Computing for Executives (ACE)",Professional Certificate,Professional Certificate,Face-to-Face (Classroom Learning),6 days,"Covers ChatGPT architecture, usage, business applications, customisation, and evaluation of LLM outputs.",Customising prompts for business objectives; fine-tuning prompts; evaluation of prompt outputs; chain-of-thought strategies; iterative prompt refinement.,Attendance (75%) and completion of hands-on exercises and assessments for certificate.,,Face-to-Face,Professional Certificate,Certificate,6 days,6,days,"['Lab/Hands-on', 'Participation', 'Certificate Only']","['customising prompts for business objectives', 'fine-tuning prompts', 'evaluation of prompt outputs', 'chain-of-thought strategies', 'prompt design/fundamentals']","['Construction', 'Foundations', 'Testing', 'Models & Methods', 'Design']","{'Construction': 0.8, 'Foundations': 0.2, 'Testing': 0.2, 'Models & Methods': 0.2, 'Design': 0.2}"
https://ace.nus.edu.sg/pc/professional-certificate-in-enterprise-deployments-and-applications-for-large-language-models/,,Professional Certificate in Enterprise Deployments and Applications for Large Language Models,National University of Singapore,"NUS Computing, Advanced Computing for Executives (ACE)",Professional Certificate,Professional Certificate,Face-to-Face & Synchronous e-Learning,7 days,"Practical enterprise deployment of LLMs, integration with RAG workflows, and evaluation of model outputs.",Good prompt engineering for productivity tasks; prompt design for role-play and coaching; iterative prompt adjustment; RAG integration prompts.,Attendance (75%) and pass all component assessments for certificate.,,Face-to-Face,Professional Certificate,Certificate,7 days,7,days,"['Participation', 'Certificate Only']","['good prompt engineering for productivity tasks', 'prompt design for role-play and coaching', 'iterative prompt adjustment', 'rag integration prompts']","['Construction', 'Design']","{'Construction': 1.0, 'Design': 0.5}"
https://ace.nus.edu.sg/course/large-language-models-overview-and-applications/,,Large Language Models Overview and Applications,National University of Singapore,"NUS Computing, Advanced Computing for Executives (ACE)",Short Course,Short Course,Face-to-Face (Classroom Learning),2 days,Foundational understanding of LLM architecture and practical applications in workflows.,Advanced prompt engineering techniques; prompt configuration; productivity enhancement prompts; workflow optimization.,Attendance (75%) and completion of course exercises.,,Face-to-Face,Short Course,Short Course,2 days,2,days,['Participation'],"['advanced prompt engineering techniques', 'prompt configuration', 'applications']","['Construction', 'Configuration Management']","{'Construction': 0.6666666666666666, 'Configuration Management': 0.3333333333333333}"
https://www.iss.nus.edu.sg/executive-education/course/detail/genai-for-comms-officer/,,Generative AI for Comms Officers,National University of Singapore,NUS Institute of Systems Science (NUS-ISS),Executive Education Course,Executive Education,Face-to-Face,1 day,"Overview of generative AI, ethical considerations, and business applications in communications.",Prompt hacking; prompt engineering best practices; chain-of-thought awareness; iterative prompt development.,Attendance (75%) and pass course assessment for certificate.,,Face-to-Face,Executive Program,Executive Education,1 day,1,days,"['Participation', 'Certificate Only']","['prompt hacking', 'prompt engineering best practices', 'chain-of-thought awareness', 'iterative prompt development']","['Construction', 'Models & Methods']","{'Construction': 0.75, 'Models & Methods': 0.25}"
https://ace.nus.edu.sg/course/essentials-of-ai-assisted-coding/,,Essentials of AI-assisted Coding,National University of Singapore,"NUS Computing, Advanced Computing for Executives (ACE)",Short Course,Short Course,Face-to-Face (Classroom Learning),1 day,"Introduction to using AI/GenAI tools for coding assistance, debugging, and documentation.",Prompt engineering principles for coding tools; crafting prompts for unit tests; debugging prompts.,Completion of hands-on coding exercises and attendance.,,Face-to-Face,Short Course,Short Course,1 day,1,days,"['Lab/Hands-on', 'Participation']","['prompt engineering principles for coding tools', 'crafting prompts for unit tests', 'debugging prompts']","['Design', 'Construction', 'Testing']","{'Design': 0.3333333333333333, 'Construction': 1.0, 'Testing': 0.6666666666666666}"
https://lifelong-learning.ox.ac.uk/courses/low-code-data-scientist-low-code-ai-apps-including-llms-and-chatgpt-online,O25C681H8T,Low-Code Data Scientist: Building AI Agents and Systems Without Writing Code,University of Oxford,Oxford Lifelong Learning,Short Course,Online Short Course,Online (Synchronous),"24 Novâ10 Dec 2025 (8 sessions, 2h each)","Empowers professionals with no coding experience to build AI solutions using natural language and low-code tools such as Langflow and OpenAI, focusing on LLMs to design AI agents and full-stack AI systems. îciteîturn1view0î","Prompt patterns (Zero-shot, Few-shot, CoT, ReAct, Reflexion); Context engineering; Memory-Context-Planning (MCP); Evolution of prompting. îciteîturn1view0î",Minimum attendance 75%; capstone project submission. îciteîturn1view0î,,Online (Synchronous),Short Course,Short Course,"24 Novâ10 Dec 2025 (8 sessions, 2h each)",,,"['Project', 'Participation']","['prompt patterns (zero-shot', 'few-shot', 'chain-of-thought', 'react', 'reflexion', 'context engineering', 'memory-context-planning (mcp', 'evolution of prompting. î\x88\x80citeî\x88\x82turn1view0î\x88\x81']","['Construction', 'Models & Methods', 'Requirements']","{'Construction': 0.25, 'Models & Methods': 0.375, 'Requirements': 0.25}"
https://lifelong-learning.ox.ac.uk/courses/artificial-intelligence-generative-ai-cloud-and-mlops-online,O25C067H7Y,"Artificial Intelligence: Generative AI, Cloud and MLOps (online)",University of Oxford,Oxford Lifelong Learning,Short Course,Online Short Course,Online (Synchronous),Weekly sessions: Saturdays (4â6h) & Tuesdays (1â2h); dates TBC,"Covers workflows for designing and developing autonomous AI agents and systems using generative AI, cloud, and MLOps, with LLMs for language, code, and images. îciteîturn2view0î",Prompt engineering; Agentic workflows; RAG including evaluation metrics; Chain-of-Thought & AGI reasoning; Multimodal AI. îciteîturn2view0î,Minimum attendance 75%; completion of quizzes; hands-on exercises. îciteîturn2view0î,,Online (Synchronous),Short Course,Short Course,Weekly sessions: Saturdays (4â6h) & Tuesdays (1â2h); dates TBC,,,"['Quiz', 'Lab/Hands-on', 'Participation']","['prompt engineering', 'agentic workflows', 'rag including evaluation metrics', 'chain-of-thought & agi reasoning', 'multimodal ai. î\x88\x80citeî\x88\x82turn2view0î\x88\x81']","['Construction', 'Design', 'Process', 'Testing', 'Models & Methods']","{'Construction': 0.2, 'Design': 0.4, 'Process': 0.2, 'Testing': 0.2, 'Models & Methods': 0.2}"
https://www.lifelong-learning.ox.ac.uk/courses/low-code-ai-hackathon-online,O25C110H6Y,Low-Code AI Hackathon (online),University of Oxford,Oxford Lifelong Learning,Short Course,Online Short Course,Online (Asynchronous),4 weeks; 6h pre-recorded material,"Hands-on hackathon-style course for non-developers and domain experts to dive into AI using prompt engineering and low-code tools, solving real-life problems in a collaborative project format. îciteîturn4view0î",Basic prompt engineering; AI co-pilot workflows; Agentic RAG; Iterative prompt design; LLM integration. îciteîturn4view0î,Interim and final design solution submissions; digital certificate. îciteîturn4view0î,,Online (Asynchronous),Short Course,Short Course,4 weeks; 6h pre-recorded material,4,weeks,"['Exam', 'Certificate Only']","['basic prompt engineering', 'ai co-pilot workflows', 'agentic rag', 'iterative prompt design', 'llm integration. î\x88\x80citeî\x88\x82turn4view0î\x88\x81']","['Construction', 'Design', 'Process', 'Foundations']","{'Construction': 0.4, 'Design': 0.6, 'Process': 0.2, 'Foundations': 0.2}"
https://www.lifelong-learning.ox.ac.uk/courses/generative-ai-for-creative-professionals,O25C042Q2Y,Generative AI for Creative Professionals (online),University of Oxford,Oxford Lifelong Learning,Short Course,Online Short Course,Online (TBC),TBC; 4h sessions (4 modules),"Teaches creative professionals to craft and refine prompts to guide generative AI for text, images, music, and multimedia, exploring workflows and tools like ChatGPT and Midjourney. îciteîturn5view0î",Prompt engineering fundamentals; Text prompt structuring; Text-to-image prompting; Style and tone adaptation; Iterative refinement. îciteîturn5view0î,Full attendance required; digital certificate of completion. îciteîturn5view0î,,Online (Synchronous),Short Course,Short Course,TBC; 4h sessions (4 modules),,,"['Participation', 'Certificate Only']","['prompt design/fundamentals', 'text prompt structuring', 'text-to-image prompting', 'style and tone adaptation', 'iterative refinement. î\x88\x80citeî\x88\x82turn5view0î\x88\x81']","['Design', 'Construction']","{'Design': 0.2, 'Construction': 0.6}"
https://www.ntu.edu.sg/pace/for-individuals/fleximasters/fleximasters-ccds/certificate-in-responsible-generative-ai-governance,,Certificate in Responsible Generative AI Governance,Nanyang Technological University,Academy for Professional and Continuing Education (NTU PACE),FlexiMasters,Professional Certificate,Online (Synchronous e-learning),11 weeks,"Covers Generative AI governance principles, ethical deployment, and hands-on prompt engineering to create text and images.","Prompt engineering strategies; chain-of-thought prompting; safety (prompt injection, jailbreaking); evaluation of prompt outputs.",Assignments and quizzes for each course; final examination for SCS members; attendance requirements.,,Online (Synchronous),Professional Certificate,Other,11 weeks,11,weeks,"['Exam', 'Quiz', 'Lab/Hands-on', 'Participation']","['prompt engineering strategies', 'chain-of-thought prompting', 'safety (prompt injection', 'jailbreaking', 'evaluation of prompt outputs']","['Construction', 'Models & Methods', 'Quality', 'Professional Practice/Ethics', 'Testing']","{'Construction': 0.8, 'Models & Methods': 0.2, 'Quality': 0.2, 'Professional Practice/Ethics': 0.2, 'Testing': 0.2}"
https://www.ntu.edu.sg/pace/for-individuals/programmes/detail/(sctp)-data-science-and-ai,(SCTP),Advanced Professional Certificate in Data Science and AI,Nanyang Technological University,Academy for Professional and Continuing Education (NTU PACE),SkillsFuture Career Transition Programme (SCTP),Professional Certificate,Online & On-Campus Hybrid,Full-time (3.25 months) / Part-time (5 months),"Emphasises practical data science workflows and AI model development, including foundation model design and generative AI.",Prompt engineering labs; instruction fine-tuning; in-context learning; chain-of-thought reasoning.,Capstone projects; real-world case studies; portfolio evaluation by faculty and industry mentors.,,Hybrid,Professional Certificate,Other,Full-time (3.25 months) / Part-time (5 months),,,"['Project', 'Case Study']","['prompt engineering labs', 'instruction fine-tuning', 'in-context learning', 'chain-of-thought']","['Construction', 'Foundations', 'Requirements', 'Models & Methods']","{'Construction': 0.5, 'Foundations': 0.25, 'Requirements': 0.25, 'Models & Methods': 0.5}"
https://www.ntu.edu.sg/pace/for-individuals/professional-certificates/professional-certificate-in-data-analytics-tools,,Professional Certificate in Data Analytics and AI Tools,Nanyang Technological University,Academy for Professional and Continuing Education (NTU PACE),Professional Certificate,Professional Certificate,Online (Synchronous & Asynchronous),6 days (42 hours),"Focuses on data analytics with AI-powered tools, integrating generative AI assistants for data insights.",Prompt design for AI assistants; prompt-based debugging; generative AI integration in analytics workflows.,Hands-on workshops; capstone exercises; attendance and project completion.,,Online (Asynchronous),Professional Certificate,Certificate,6 days (42 hours),6,days,"['Project', 'Lab/Hands-on', 'Participation']","['prompt design for ai assistants', 'prompt-based debugging', 'generative ai integration in analytics workflows']","['Design', 'Construction', 'Testing', 'Process']","{'Design': 0.6666666666666666, 'Construction': 0.6666666666666666, 'Testing': 0.3333333333333333, 'Process': 0.3333333333333333}"
https://courses.dce.harvard.edu/?crn=25152,CSCI E-94,Fundamentals of Cloud Computing and OpenAI with Microsoft Azure,Harvard University,"Harvard Extension School, Division of Continuing Education",Harvard Extension School,Degree-Awarding,"Online (Flexible Attendance Web Conference, asynchronous)","Spring Term 2025 (Thursdays, JanÂ 30âMayÂ 17)","This course offers a comprehensive introduction to cloud and serverless computing focusing on Microsoft Azure and its AI platform. Students learn about the OpenAI offerings in Azure and how to responsibly leverage them in their cloud-native solutions, with hands-on experience in prompt engineering, fine tuning, and embedding.",Prompt engineering; Fine tuning; Embedding; Responsible use of Azure OpenAI,Hands-on labs and assignments focusing on prompt engineering and cloud AI solution design,,Online (Asynchronous),Degree-Awarding,Other,"Spring Term 2025 (Thursdays, JanÂ 30âMayÂ 17)",,,['Lab/Hands-on'],"['prompt engineering', 'fine tuning', 'embedding', 'responsible use of azure openai']",['Construction'],{'Construction': 0.5}
https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,CS50 AI,CS50's Introduction to Artificial Intelligence with Python,Harvard University,HarvardX (Harvard University),HarvardX MOOC,MOOC,"Online (self-paced, asynchronous)",7 weeks,"An introduction to foundational AI concepts and algorithms in Python, including decision trees, minimax, neural networks, transformer-based LLM modules, and in-depth modules on system and user prompt design for generative AI.",System Prompt; User Prompt; Generative AI; Few-shot prompting; Chain-of-thought prompting; Hallucination mitigation,Weekly programming problem sets and a final project submission to demonstrate AI and prompt engineering skills,,Online (Asynchronous),MOOC,Other,7 weeks,7,weeks,"['Exam', 'Project']","['system prompt', 'user prompt', 'generative ai', 'few-shot prompting', 'chain-of-thought prompting', 'safety/risk']","['Construction', 'Models & Methods', 'Engineering Management', 'Quality', 'Professional Practice/Ethics']","{'Construction': 0.6666666666666666, 'Models & Methods': 0.3333333333333333, 'Engineering Management': 0.16666666666666666, 'Quality': 0.16666666666666666, 'Professional Practice/Ethics': 0.16666666666666666}"
